id,couse_code,couse_name,couse_year,couse_detail,created_at,updated_at,user_id
74,,aaa,2561,"",2018-08-19 07:00:40.76475,2018-08-19 07:00:40.76475,170
75,,bbb,2561,"",2018-08-19 07:00:57.749991,2018-08-19 07:00:57.749991,170
76,,สังคมศึกษา ส32101,2561,ภาคเรียนที่ 1,2018-08-19 07:01:19.277481,2018-08-19 07:01:19.277481,203
77,,คณิตศาสตร์เสริมประสปการณ์ 1 (ค32203),2561,"",2018-08-19 07:01:30.409672,2018-08-19 07:01:30.409672,174
78,,สุขศึกษา,2561,"",2018-08-19 07:01:43.766041,2018-08-19 07:01:43.766041,212
79,,ศิลปะ5,2561,ภาคเรียนที่1,2018-08-19 07:01:43.971514,2018-08-19 07:01:43.971514,202
33,,ว 33109  พลังงาน ,2561,ภาคเรียนที่ 1,2018-08-19 06:54:07.521633,2018-08-19 07:01:51.799458,183
80,,ดนตรี ศ22101,2561,"",2018-08-19 07:02:20.838698,2018-08-19 07:02:20.838698,192
81,,ศิลปะ5,2561,ภาคเรียนที่1,2018-08-19 07:02:49.097883,2018-08-19 07:02:49.097883,202
82,,คณิตศาสตร์,2560,"",2018-08-19 07:03:35.427768,2018-08-19 07:03:35.427768,173
83,,ศิลปะ,2561,"",2018-08-19 07:13:38.459901,2018-08-19 07:13:38.459901,215
84,,ชีววิทยาพื้นฐาน,2561,1. การเคลื่อนที่ของสารผ่านเซลล์,2018-08-19 08:02:59.868389,2018-08-19 08:02:59.868389,267
85,,ส21101 สังคมศึกษา,2561,ภาคเรียนท่ี  1,2018-08-19 08:08:08.448037,2018-08-19 08:08:08.448037,205
86,,คณิตศาสตร์พื้นฐาน,2562,"",2019-02-24 10:12:30.013284,2019-02-24 10:12:30.013284,270
87,,คณิตศาสตร์พื้นฐาน,2562,1,2019-04-18 09:43:17.169854,2019-04-18 09:43:17.169854,272
88,,วิทยาศาสตร์ชีวภาพ,2562,"",2019-07-12 07:48:48.279276,2019-07-12 07:48:48.279276,274
89,,MATH,2562,เทอมหนึ่ง,2019-07-12 13:47:10.986778,2019-07-12 13:47:10.986778,279
90,,ชีววิทยา3,2562,"",2019-07-12 14:50:56.971034,2019-07-12 14:50:56.971034,280
91,,คณิตศาสตร์เพิ่มเติม 3,2562,ภาคเรียนที่ 1,2019-07-16 00:24:35.230964,2019-07-16 00:24:35.230964,281
92,,ทัศนศิลป์ ม.๑,2562,"",2019-07-18 16:39:07.36218,2019-07-18 16:39:07.36218,282
93,,Physics 1,2562,Semester 1,2019-07-22 07:44:29.176448,2019-07-22 07:44:29.176448,283
94,,ภาษาไทยพื้นฐาน 3,2562,"",2019-07-23 01:34:32.399701,2019-07-23 01:34:52.116831,284
95,,โครงงานฐานวิจัย ป.1 ทดสอบระบบ,2562,รายวิชาโครงงานฐานวิจัย ชั้น ป.1 ปีการศึกษา 2562 (ทดสอบระบบ),2019-09-02 15:54:59.989518,2019-09-03 00:28:30.691558,285
98,,ภาษาไทย,2562,การอ่าน การเขียน คำพื้นฐาน,2019-09-06 06:33:45.225661,2019-09-06 06:33:45.225661,288
99,,โครงงานฐานวิจัย,2562,"",2019-09-06 06:34:53.860662,2019-09-06 06:34:53.860662,296
100,,โครงงานฐานวิจัย ม.3,2562,วิชานี้เป็นวิชาในกลุ่มสาระพื้นฐาน,2019-09-06 06:34:59.471966,2019-09-06 06:34:59.471966,314
101,,โครงงานฐานวิจัย ป.5,2562,วิชานี้เป็นวิชาในกลุ่มสาระพื้นฐาน,2019-09-06 06:34:59.523357,2019-09-06 06:34:59.523357,297
